ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Students,INSTRUCTOR_ID,Instructor,Instructor_Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202320,Schl of Construction Mgmt Tech,CM,33000,Design Construction I,LEC,001,12362,6.0,6.0,,,MW,11:30 AM-12:20 PM,01/09/23-04/29/23,KNOY B031,9,20,No,14428261.0,"Hubbard, Bryan J.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,33100,Design And Construction II,LEC,001,20576,6.0,6.0,,,MW,11:30 AM-12:20 PM,01/09/23-04/29/23,KNOY B029,5,10,No,14428261.0,"Hubbard, Bryan J.",Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,41000,Construction Mgmt Portfolio II,DIS,002,22526,0.5,0.5,,,Unlisted,,01/09/23-03/05/23,,15,100,No,14428261.0,"Hubbard, Bryan J.",Professor,Y,P/NP,Unk,Unk,Unk,0.0,0.0,0.0
202320,School of Engineering Tech,ECET,38001,Global Prof Issues In ET,LEC,001,11172,3.0,3.0,,,MWF,01:30 PM-02:20 PM,01/09/23-04/29/23,ME 2061,88,90,No,29591236.0,"Huber, Sarah E.",Associate Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Naval Science,NS,41300,Naval Leadership & Ethics,LEC,002,17350,3.0,3.0,,Inst,MWF,12:30 PM-01:20 PM,01/09/23-04/29/23,AR 206,11,14,No,35715134.0,"Hudson, Scott C.",Associate Professor of Naval Science,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Naval Science,NS,41300,Naval Leadership & Ethics,LEC,001,17349,3.0,3.0,,Inst,MWF,09:30 AM-10:20 AM,01/09/23-04/29/23,AR 206,11,14,No,35715134.0,"Hudson, Scott C.",Associate Professor of Naval Science,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Military Science,MSL,30200,Applied Ldrshp In Sm Unit Ops,LEC,001,22897,4.0,4.0,,Dept,TR,01:30 PM-02:45 PM,01/09/23-04/29/23,LWSN B134,11,20,No,33124276.0,"Huggett, Christopher",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Military Science,MSL,30200,Applied Ldrshp In Sm Unit Ops,LEC,002,22898,4.0,4.0,,Dept,TR,10:30 AM-11:45 AM,01/09/23-04/29/23,LWSN B134,18,20,No,33124276.0,"Huggett, Christopher",Assistant Professor of Military Science,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,31900,"UAS Apps, Data And Doc",LEC,003,14867,3.0,3.0,,,W,09:30 AM-11:20 AM,01/09/23-04/29/23,NISW 145,17,20,No,31239229.0,"Hupy, Joseph P.",Associate Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,41901,UAS Capstone,LEC,002,15436,3.0,3.0,,,F,09:30 AM-11:20 AM,01/09/23-04/29/23,NISW 145,11,15,No,31239229.0,"Hupy, Joseph P.",Associate Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
